,date,tweet_id,text,username
6493,2022-11-22 17:19:42+00:00,1595104748092674048,"Trump is ALIVE
#DonaldJTrump #Elonmusk https://t.co/Tj8Mywpkvu",Chut_off
6494,2022-11-22 17:19:41+00:00,1595104746951823360,"@RubeGolberg @Victorshi2020 There are no “top secret” documents. Every president declassifies anything they intend to remove from the records before leaving, as did trump.
To think President Trump would leave classified “envelopes” (not documents) lying around on the floor is just asinine. All for FBI show.",ArcusAngeles
6495,2022-11-22 17:19:41+00:00,1595104746884530179,"@JohnJHarwood Please explain why Bill Barr is relevant to any discussion other than his support of Trump, who incited an insurrection.",Jennife07234153
6496,2022-11-22 17:19:41+00:00,1595104746062446592,#VladimirPutin puppet #trump America's worst nightmare trump announces continue being America's nightmare along with #GOP @scotus FLIP FLOP talk both sides of mouths all condemned rioters attacking Capitol Jan 6 later were talking insurrectionist just NORMAL political discourse https://t.co/ERG3xMtZ8w,outerspacemanII
6497,2022-11-22 17:19:41+00:00,1595104744879656967,"@peterframpton NOW you know how President Trump feels!
No one is going to get rid of him, try as they might!  They can't stop him no matter what they do.  Are you ready for President Trump to be back in The White House?😎",thelmakiddvance
6498,2022-11-22 17:19:41+00:00,1595104744452030464,@KaraScannell @susannecraig To Trump consistency and following the law feel like bias against him. Just look at how he thought Hillary running for President shouldn’t protect her from going to prison but now thinks him running for President should protect him from even being investigated or indicted.,darinp2
6499,2022-11-22 17:19:41+00:00,1595104744393277440,"@TheRickWilson Yeah, looks like he has almost caught Trump (Twitter wanted “truss” but I overruled thEM) in the LOONEY 10K. At least I hope it’s a 10K and not a Marathon!",robkuhnjr
6500,2022-11-22 17:19:40+00:00,1595104742015127552,@RealDaveGray77 @Rods_of_God @TrendingLiberal @KariLake Considering they use 2 different hsrd drives that were not in hunters possession for more that a year before they came upon it but you do you like i said if he's guilty he needs to suffer the consequences.  Feel the same thing about Trump and the document he stold,alliemom1
6501,2022-11-22 17:19:40+00:00,1595104741155131392,"@VileEpiphany I muted Trump's name a long time ago, so my TL hasn't changed very much at all. I also recently muted Elon's name &amp; that's helped a lot.",michele5411
6502,2022-11-22 17:19:40+00:00,1595104740945313801,"@MattCover I think I'm most worried about Trump being a lesser candidate than he was before, leading to a potential primary win but a general defeat.",Th3Claude
6503,2022-11-22 17:19:40+00:00,1595104740261912576,Donald Trump will testify in New York court to defend his business empire https://t.co/8IWnu9cjXE via @businessinsider,aJSDecepida
6504,2022-11-22 17:19:40+00:00,1595104740169453570,@DSaritel @DonaldJTrumpJr Im sure you always spoke highly of Donald Trump?,Wiregrass3
6505,2022-11-22 17:19:39+00:00,1595104738751614976,"@itsJeffTiedrich What vocation has a higher likelihood of success than a “trump lawyer” ?

How about a balloon animal clown at a porcupine’s birthday party ? https://t.co/ULhcUWw4xq",mark_matranga
6506,2022-11-22 17:19:39+00:00,1595104738428817411,"@DashDobrofsky But nothing against Trump who calls him all kinds of names...this is what bullies do, they only bully those who they think they can beat, but I've seen many times where a bully underestimated a person cause they were small!",cangel101
6507,2022-11-22 17:19:39+00:00,1595104737791479808,"@dcherring Well, I'll buy this when I see Trump losing in actual primaries. Until then, I think he's still the odds-on favorite to win the nomination, and this talk of him losing to DeSantis is Twitter/beltway bubble talk.",pmarmstro
6508,2022-11-22 17:19:39+00:00,1595104737590149121,@Annenync @Username0843 @RiverLady10 @DashDobrofsky Yet trump kept him on staff.,arevireba
6509,2022-11-22 17:19:39+00:00,1595104736797429760,"@AshleyRParker Everyone who associates with Trump &amp; Co is tainted by it, including reporters like you and Haberman.",sjenningsfan1
6510,2022-11-22 17:19:39+00:00,1595104736705118211,"@joncoopertweets This is beginning to look like clickbait - Trump is going to be indicted, Lindsey Graham is 'going down', follow so and so. Lindsey is not going anywhere, he is going to testify, where lots of others have already testified. And if he pleads the 5th, so what?",coylemj
6511,2022-11-22 17:19:39+00:00,1595104735287455746,"@elonmusk What’s the hold up on trump? If the consensus is everyone should be allowed an opinion and a voice, why not him?",Patrick60411922
6512,2022-11-22 17:19:39+00:00,1595104734998056961,"@desertlife88 I think progressives/Demos are not so much voting FOR someone, as they are attempting to ""own"" Trump by not voting for Conservatives.",WrongTurnComics
6513,2022-11-22 17:19:38+00:00,1595104734234304512,"@jmce47 @tribelaw Trump weaponized the DOJ &amp; his entire administration.
He's not a example of how a normal president acts, I'm quite aware of what went on",whatsrealhere
6514,2022-11-22 17:19:38+00:00,1595104733802287109,@TruthDefender4 @planetjohn99 @JoJoFromJerz @Craigsbass @CBlaine72 @LGwalt Name the so called evangelical he has conned. Obviously your sterile environment demands that God receives your acquiescence before He can apply His Son's payment for one's sins lest the individual harbours any of the same sin that Trump has that's out of Christ's reach.,avdefender
6515,2022-11-22 17:19:38+00:00,1595104733290700800,"@clmuseum @GuntherEagleman I am not au fait with the US Constitution. The idea based on what happened in China, Trump changing so he is President for life and thereafter, a dead President is still President!",Ybretsae
6516,2022-11-22 17:19:38+00:00,1595104731222810624,Where was Ivanka when Donald launched his campaign? Doing what Trumps do and looking after number one - The Guardian.  WHY GET DIRTY? https://t.co/yJ9L3PFxd9,JillyJacobson
6517,2022-11-22 17:19:38+00:00,1595104730874798088,"@elonmusk Alex Jones
✅ Jordan Peterson
•carpe Dunktum
•Laura Loomer
•Milo Yiannapolis
•Liberty Memes
•Stefan Molyneux 
•Bill Mitchell 
•Roger Stone
•Gavin McInnes
•Donald Trump
•James OKeefe
•Project Veritas 
•Ali Alexander
✅ BabylonBee",BigEasyLivin2
6518,2022-11-22 17:19:37+00:00,1595104729809522689,@NickAdamsinUSA You are a joke and for sure you are not a alpha male maybe a Trump hummer,NormDavis16
6519,2022-11-22 17:19:37+00:00,1595104729348071425,"Paul Ryan calls himself a 'never-again-Trumper' and says Republicans will lose in 2024 with Trump on ticket.
https://t.co/095FDvCGKM",Aviano27
6520,2022-11-22 17:19:37+00:00,1595104728480112640,I am not convinced that he is being sincere about this relationship with the Trump administration and the republican loyalist that remains in the party https://t.co/IEHPDHJ7LU,TYRONENixon12
6521,2022-11-22 17:19:37+00:00,1595104728123289601,"@NPRinskeep @NPR Trump is NOT a good man. It’s not even debatable. 

It’s too bad that Mike Pence has to hide behind the “only God knows” curtain like a child. He was there too, and he knows exactly what went on for four years and knows the horrid indecency this man leaks out every day,",InfoIngestion
6522,2022-11-22 17:19:36+00:00,1595104723853807618,Trump is hilarious https://t.co/YbAxvNPi4f,grimmz69
6523,2022-11-22 17:19:35+00:00,1595104721848733696,Maybe the country needs to be reminded that the Trump administration refuse to transfer power to the Biden adminstration. https://t.co/nomHxGuqex,truthteller49
6524,2022-11-22 17:19:35+00:00,1595104721232351232,"@DineshDSouza The left's use of words ""better together"" is now in marketing of woke corps to signal to leftie voters. Use the colors and phrases and attach them to Trumps name. This is effective trolling and gets independents to know Trump policies work for everyone! Re-tweet to distribute. https://t.co/QBAiH15fJ7",JudgeWyld
6525,2022-11-22 17:19:35+00:00,1595104720854683658,Pull The Gay Card When Trump &amp; Them On Yall Azz https://t.co/MSerijyqRU,icebergsal
6526,2022-11-22 17:19:35+00:00,1595104720556892162,@Hinayru_ Es como Twitter pero he leído que el creador o no se es partidario de Trump 🤡,merytr016
6527,2022-11-22 17:19:35+00:00,1595104720187596800,"@AmericaRpts @mercedesschlapp @Mark_Penn @wjmcgurn @JenKiggans @ByronYork @kilmeade @ShannonBream @johnrobertsFox @GillianHTurner @DonaldJTrumpJr @MELANIATRUMP @SenTedCruz @GOPLeader @Jim_Jordan @IngrahamAngle No matter what the worthless RINOs like Paul Ryan and his Pelosi pet lover @RepLizCheney or the fat Rino pig @GovChristie says, President Trump has the most important thing with him, that is the voters. We see him getting politically Persecuted and we stand with him. Trump 2024",Bosa6868
6528,2022-11-22 17:19:34+00:00,1595104715448397824,"The criminals that used to run Twitter that blocked trumps tweets saying be peaceful, and all that they are the instigators they need to be in jail with a quick death penalty sentence",grillbird91
6529,2022-11-22 17:19:33+00:00,1595104713170907136,@Azsteve520 @LouannFlauto She left the party because of Trump and his blindly loyal Republican supporters.,mykolaia
6530,2022-11-22 17:19:33+00:00,1595104711358779397,@atensnut Juanita I’ve been looking for help. I cannot see President Trump latest tweets. The last thing I see are his tweets from January 6th. Idk how to contact Twitter. Hopefully you can shed some light on this,ditcharo_terrie
6531,2022-11-22 17:19:33+00:00,1595104709597335553,Did Trump get the news yet? The walls are closing in on the fraudstersof this era. Anyone guess who’s first to be indicted @SBF_FTX or @realDonaldTrump ? https://t.co/4hDXy5Glcm,jeffj420
6532,2022-11-22 17:19:32+00:00,1595104709039521793,"@Mikethewander1 Trump spoke of public executions! He’s unleashed Hell all around us! None of this heinous shit will begin to stop until he’s held accountable. That’s the truth of the matter. We ALL have dark thoughts/fantasies, but healthier folks control impulses to act out on those thoughts.",upchuck66
6533,2022-11-22 17:19:32+00:00,1595104706980122624,@jcamargonyc Na verdade não pq@quem carrega os eua é a Califórnia e NY  e se dependesse deles trump nunca teria ganho,brunbzz
6534,2022-11-22 17:19:32+00:00,1595104706426273793,@esoryelsnya “President Biden doesn’t have the authority to reduce student debt.” “I’ll punch him (trump) for trespassing on the capital.”  We knew the first quote but he could not be trespassed on the capital. It’s the people’s capital.,Truthandfaith22
6535,2022-11-22 17:19:31+00:00,1595104701389107200,"@SandraSmithFox Also,a commercial has Tucker tonight wondering why 59k pages of documents from the Kennedy assasination have not been declassified by THIS administration? Question…why didn’t the Nixon,Ford, Reagan, Bush, Bush Jr, and Trump declassify these pages? Fox is a joke!",BobRmalone16
6536,2022-11-22 17:19:30+00:00,1595104699530842129,@PalmerReport LOCK TRUMP UP! LOCK TRUMP UP! LOCK TRUMP UP! AND THROW AWAY THE KEY! AND GAG HIS MOUTH!,JohnFra94830756
6537,2022-11-22 17:19:30+00:00,1595104698473730049,"Donald Trump asks a federal court in Florida to provide him and his counsel with unreacted version of the search warrant affidavit in documents probe, according to a court filing.",cgtnamerica
6538,2022-11-22 17:19:30+00:00,1595104698285150208,"@TheReckoning76 @bownerowner @USAScumLord @Esqueer_ You see, the secret is trump ran on racism. The only big pedo orgs are Christianity and the republican party. Calling queer people pedos is a tactic by actual pedos to distract you while they legalize raping children.",Grayoso15
6539,2022-11-22 17:19:30+00:00,1595104697161060364,@Grim_Odor @joncoopertweets Show me 1 picture where President Trump is sniffing a little girls hair!  Just 1!!  I’ll wait 🙏🏻🇺🇸,JulieNunley7
6540,2022-11-22 17:19:29+00:00,1595104695873421312,@AshleyRParker waaaaaaa. jfc you people are pathetic. useless. you 'covered' trump by covering for him. do your damn job. who paid off kavanaughs debt? what did trump say to Kennedy that he retired soon after?,NagleKara
6541,2022-11-22 17:19:29+00:00,1595104695583854592,"@joshchafetz @williamadler78 @AshleyRParker It's worth knowing, but not when you compare being shut out of a wedding to Trump's lies that create violence and cost people their lives.",ModerateWill
